LMT Date,LMT Time,Latitude,Longitude,Elevation,,,
2013/5/21,00:00:00,-34.2457700,18.8763217,189,,,
2013/5/21,03:00:00,-34.2457767,18.8762833,191,,,
2013/5/21,06:00:00,-34.2458017,18.8762900,191,,,
2013/5/21,09:00:00,-34.2458083,18.8763633,184,,,
2013/5/21,12:00:00,-34.2457433,18.8763650,163,,,
2013/5/21,15:00:00,-34.2456583,18.8764183,204,,,
2013/5/21,18:00:00,-34.2464083,18.8765883,200,,,
2013/5/21,21:00:00,-34.2503433,18.8777350,259,,,
2013/5/22,00:00:00,-34.2503750,18.8778117,263,,,
2013/5/22,03:00:00,-34.2530983,18.8818067,497,,,
2013/5/22,09:00:00,-34.2535800,18.8828267,519,,,
2013/5/22,12:00:00,-34.2530300,18.8824467,583,,,
2013/5/22,18:00:00,-34.2595867,18.8861900,700,,,
2013/5/22,21:00:00,-34.2730750,18.8910617,355,,,
2013/5/23,09:00:00,-34.2396433,18.9061567,505,,,
2013/5/23,12:00:00,-34.2204317,18.8959217,1081,,,
2013/5/23,15:00:00,-34.2145750,18.8909000,871,,,
2013/5/23,18:00:00,-34.2211983,18.8822217,709,,,
2013/5/23,21:00:00,-34.2201717,18.8665517,628,,,
2013/5/24,00:00:00,-34.2201850,18.8666733,629,,,
2013/5/24,03:00:00,-34.2172833,18.8479267,554,,,
2013/5/24,06:00:00,-34.2178533,18.8482600,496,,,
2013/5/24,09:00:00,-34.1939517,18.8368400,305,,,
2013/5/24,15:00:00,-34.1875150,18.8452200,311,,,
2013/5/24,18:00:00,-34.1813333,18.8353683,433,,,
2013/5/24,21:00:00,-34.1776783,18.8351050,238,,,
2013/5/25,00:00:00,-34.1905283,18.8205283,36,,,
2013/5/25,03:00:00,-34.1920050,18.8217617,26,,,
2013/5/25,06:00:00,-34.1835350,18.8346083,352,,,
2013/5/25,09:00:00,-34.1743417,18.8532250,270,,,
2013/5/25,12:00:00,-34.1740617,18.8530033,266,,,
2013/5/25,15:00:00,-34.1735783,18.8529867,240,,,
2013/5/25,18:00:00,-34.1722100,18.8555833,320,,,
2013/5/25,21:00:00,-34.1706083,18.9013700,354,,,
2013/5/26,00:00:00,-34.1740517,18.9446933,483,,,
2013/5/26,03:00:00,-34.1732533,18.9526783,459,,,
2013/5/26,06:00:00,-34.1808450,18.9880683,333,,,
2013/5/26,09:00:00,-34.1786800,18.9880533,343,,,
2013/5/26,12:00:00,-34.1786583,18.9881200,336,,,
2013/5/26,15:00:00,-34.1787250,18.9878700,346,,,
2013/5/26,18:00:00,-34.1804483,18.9849200,408,,,
2013/5/26,21:00:00,-34.1807467,18.9879117,308,,,
2013/5/27,00:00:00,-34.1810933,18.9879850,316,,,
2013/5/27,03:00:00,-34.1809300,18.9878717,317,,,
2013/5/27,06:00:00,-34.1936900,18.9692633,382,,,
2013/5/27,09:00:00,-34.1990350,18.9658567,125,,,
2013/5/27,12:00:00,-34.1978767,18.9481400,552,,,
2013/5/27,15:00:00,-34.1986267,18.9444250,577,,,
2013/5/27,18:00:00,-34.2014300,18.9368817,735,,,
2013/5/27,21:00:00,-34.1754467,18.9440600,497,,,
2013/5/28,00:00:00,-34.1551633,18.9423667,395,,,
2013/5/28,03:00:00,-34.1544467,18.9456400,388,,,
2013/5/28,06:00:00,-34.1731900,18.9016950,351,,,
2013/5/28,09:00:00,-34.1730367,18.9001183,398,,,
2013/5/28,12:00:00,-34.1739350,18.9020567,342,,,
2013/5/28,15:00:00,-34.1738650,18.9020017,353,,,
2013/5/28,18:00:00,-34.1740333,18.9020067,345,,,
2013/5/28,21:00:00,-34.1738933,18.9020617,358,,,
2013/5/29,00:00:00,-34.1740017,18.9018967,344,,,
2013/5/29,03:00:00,-34.1740367,18.9019733,361,,,
2013/5/29,06:00:00,-34.1740250,18.9020183,355,,,
2013/5/29,09:00:00,-34.1740450,18.9020233,350,,,
2013/5/29,12:00:00,-34.1740500,18.9019683,351,,,
2013/5/29,15:00:00,-34.1828167,18.8909200,384,,,
2013/5/29,18:00:00,-34.1943933,18.8999917,566,,,
2013/5/30,00:00:00,-34.1963067,18.9004367,630,,,
2013/5/30,03:00:00,-34.1976250,18.9015883,626,,,
2013/5/30,06:00:00,-34.2065667,18.8998350,622,,,
2013/5/30,09:00:00,-34.2091250,18.8894750,682,,,
2013/5/30,12:00:00,-34.2148850,18.8906667,816,,,
2013/5/30,18:00:00,-34.2367517,18.8770167,326,,,
2013/5/30,21:00:00,-34.2414033,18.8553000,52,,,
2013/5/31,00:00:00,-34.2301483,18.8467300,24,,,
2013/5/31,03:00:00,-34.2301817,18.8466467,27,,,
2013/5/31,06:00:00,-34.2234333,18.8406767,94,,,
2013/5/31,09:00:00,-34.2232967,18.8405517,56,,,
2013/5/31,12:00:00,-34.2233567,18.8406117,93,,,
2013/5/31,15:00:00,-34.2234383,18.8406567,88,,,
2013/5/31,18:00:00,-34.2234683,18.8405617,69,,,
2013/6/1,00:00:00,-34.2234967,18.8407167,121,,,
2013/6/1,09:00:00,-34.2232950,18.8406217,58,,,
2013/6/1,12:00:00,-34.2234883,18.8405933,74,,,
2013/6/1,18:00:00,-34.2210333,18.8433633,364,,,
2013/6/1,21:00:00,-34.2209317,18.8433967,362,,,
2013/6/2,15:00:00,-34.1972150,18.8331667,330,,,
2013/6/2,18:00:00,-34.1951300,18.8309067,,,,
2013/6/2,21:00:00,-34.1761500,18.8370867,143,,,
2013/6/3,03:00:00,-34.1775183,18.8614033,394,,,
2013/6/3,06:00:00,-34.1775500,18.8615433,403,,,
2013/6/3,12:00:00,-34.1700517,18.8653967,369,,,
2013/6/3,15:00:00,-34.1680217,18.8817317,511,,,
2013/6/3,18:00:00,-34.1494383,18.9135867,237,,,
2013/6/3,21:00:00,-34.1413133,18.9304617,395,,,
2013/6/4,00:00:00,-34.1031450,18.9488233,437,,,
2013/6/4,09:00:00,-34.0797550,18.9961250,923,,,
2013/6/4,18:00:00,-34.0802300,18.9976233,831,,,
2013/6/4,21:00:00,-34.1123383,19.0144400,426,,,
2013/6/5,00:00:00,-34.1254367,18.9930000,515,,,
2013/6/5,03:00:00,-34.1297550,18.9743433,471,,,
2013/6/5,06:00:00,-34.1205783,18.9451067,322,,,
2013/6/5,09:00:00,-34.1103650,18.9415433,444,,,
2013/6/5,12:00:00,-34.1073333,18.9439900,323,,,
2013/6/5,15:00:00,-34.1071083,18.9442817,303,,,
2013/6/5,18:00:00,-34.1030600,18.9461233,405,,,
2013/6/5,21:00:00,-34.1022133,18.9440417,366,,,
2013/6/6,00:00:00,-34.1093067,18.9523450,400,,,
2013/6/6,03:00:00,-34.1356033,18.9355783,287,,,
2013/6/6,06:00:00,-34.1359233,18.9356583,301,,,
2013/6/6,09:00:00,-34.1732183,18.9017917,365,,,
2013/6/6,12:00:00,-34.1755750,18.8971183,342,,,
2013/6/6,15:00:00,-34.1755483,18.8971433,349,,,
2013/6/6,18:00:00,-34.1756583,18.8972233,342,,,
2013/6/6,21:00:00,-34.1755833,18.8971050,335,,,
2013/6/7,03:00:00,-34.1782233,18.8924667,365,,,
2013/6/7,06:00:00,-34.1875483,18.8507067,333,,,
2013/6/7,09:00:00,-34.1876667,18.8505200,119,,,
2013/6/7,12:00:00,-34.1882933,18.8480233,333,,,
2013/6/7,15:00:00,-34.1866650,18.8418000,421,,,
2013/6/7,18:00:00,-34.1836450,18.8306050,385,,,
2013/6/7,21:00:00,-34.1977900,18.8256767,162,,,
2013/6/8,00:00:00,-34.2153433,18.8338967,34,,,
2013/6/8,03:00:00,-34.2335667,18.8520650,36,,,
2013/6/8,06:00:00,-34.2345867,18.8558883,77,,,
2013/6/8,09:00:00,-34.2446667,18.8664033,89,,,
2013/6/8,12:00:00,-34.2444900,18.8663767,28,,,
2013/6/8,15:00:00,-34.2459283,18.8684083,100,,,
2013/6/8,18:00:00,-34.2453350,18.8687483,99,,,
2013/6/8,21:00:00,-34.2441183,18.8577317,36,,,
2013/6/9,00:00:00,-34.2601633,18.8593650,141,,,
2013/6/9,03:00:00,-34.2663567,18.8599183,336,,,
2013/6/9,06:00:00,-34.2749667,18.8529567,645,,,
2013/6/9,09:00:00,-34.2807433,18.8329017,342,,,
2013/6/9,12:00:00,-34.2806517,18.8327183,335,,,
2013/6/9,15:00:00,-34.2807067,18.8328567,344,,,
2013/6/9,18:00:00,-34.2819233,18.8313100,253,,,
2013/6/9,21:00:00,-34.3096117,18.8237183,201,,,
2013/6/10,00:00:00,-34.3353350,18.8313483,29,,,
2013/6/10,03:00:00,-34.3352650,18.8311583,21,,,
2013/6/10,06:00:00,-34.3352817,18.8311950,23,,,
2013/6/10,09:00:00,-34.3352533,18.8311250,31,,,
2013/6/10,12:00:00,-34.3352550,18.8312100,23,,,
2013/6/10,15:00:00,-34.3319250,18.8308150,234,,,
2013/6/10,18:00:00,-34.3316767,18.8303917,252,,,
2013/6/10,21:00:00,-34.3241500,18.8497933,88,,,
2013/6/11,00:00:00,-34.3317533,18.8558133,,,,
2013/6/11,03:00:00,-34.3347383,18.8671950,347,,,
2013/6/11,06:00:00,-34.3408867,18.8997200,659,,,
2013/6/11,09:00:00,-34.3388017,18.9022700,579,,,
2013/6/11,12:00:00,-34.3388383,18.9021900,549,,,
2013/6/11,15:00:00,-34.3437967,18.9100800,472,,,
2013/6/11,18:00:00,-34.3463667,18.9202717,297,,,
