LMT Date,LMT Time,Latitude,Longitude
2013/9/11,00:00:00,-33.6301150,19.2574183
2013/9/11,06:00:00,-33.6426883,19.2427933
2013/9/11,09:00:00,-33.6419617,19.2337850
2013/9/11,12:00:00,-33.6253233,19.2352850
2013/9/11,15:00:00,-33.6250017,19.2368483
2013/9/11,18:00:00,-33.6250533,19.2368883
2013/9/11,21:00:00,-33.6097617,19.2353500
2013/9/12,00:00:00,-33.5946817,19.2475033
2013/9/12,03:00:00,-33.5841017,19.2611917
2013/9/12,06:00:00,-33.5841567,19.2611933
2013/9/12,09:00:00,-33.5842733,19.2617717
2013/9/12,12:00:00,-33.5846233,19.2619800
2013/9/12,15:00:00,-33.5842600,19.2617700
2013/9/12,18:00:00,-33.5843283,19.2618167
2013/9/12,21:00:00,-33.5742750,19.2766933
2013/9/13,00:00:00,-33.5719633,19.2788983
2013/9/13,03:00:00,-33.5704067,19.2821767
2013/9/13,06:00:00,-33.5659317,19.2948000
2013/9/13,09:00:00,-33.5594750,19.2969367
2013/9/13,12:00:00,-33.5594883,19.2968900
2013/9/13,15:00:00,-33.5589667,19.2973450
2013/9/13,18:00:00,-33.5547167,19.3072833
2013/9/13,21:00:00,-33.5362683,19.3032183
2013/9/14,00:00:00,-33.5345350,19.2887017
2013/9/14,03:00:00,-33.5339717,19.2866567
2013/9/14,06:00:00,-33.5339500,19.2866550
2013/9/14,09:00:00,-33.5339650,19.2866300
2013/9/14,12:00:00,-33.5335367,19.2859983
2013/9/14,15:00:00,-33.5264500,19.2849483
2013/9/14,18:00:00,-33.5194267,19.2821700
2013/9/14,21:00:00,-33.5126717,19.2769000
2013/9/15,00:00:00,-33.5099883,19.2771117
2013/9/15,03:00:00,-33.5057133,19.2873950
2013/9/15,06:00:00,-33.5057250,19.2873833
2013/9/15,09:00:00,-33.5057367,19.2873800
2013/9/15,12:00:00,-33.5017900,19.2894350
2013/9/15,15:00:00,-33.5018983,19.2891633
2013/9/15,18:00:00,-33.5004933,19.2889167
2013/9/15,21:00:00,-33.4933767,19.2889250
2013/9/16,00:00:00,-33.4849667,19.2776500
2013/9/16,03:00:00,-33.4844167,19.2756817
2013/9/16,06:00:00,-33.4843500,19.2757667
2013/9/16,09:00:00,-33.4831417,19.2766717
2013/9/16,12:00:00,-33.4820500,19.2778100
2013/9/16,15:00:00,-33.4827950,19.2743367
2013/9/16,18:00:00,-33.4823950,19.2709150
2013/9/16,21:00:00,-33.4866150,19.2687083
2013/9/17,00:00:00,-33.4919767,19.2491400
2013/9/17,03:00:00,-33.4919283,19.2491567
2013/9/17,06:00:00,-33.4916200,19.2491333
2013/9/17,09:00:00,-33.4915433,19.2491367
2013/9/17,12:00:00,-33.4919350,19.2488917
2013/9/17,15:00:00,-33.4919033,19.2489467
2013/9/17,18:00:00,-33.4917883,19.2488500
2013/9/17,21:00:00,-33.4917317,19.2486100
2013/9/18,00:00:00,-33.4917567,19.2488017
2013/9/18,06:00:00,-33.4916950,19.2488383
2013/9/18,09:00:00,-33.4916917,19.2489917
2013/9/18,12:00:00,-33.4919683,19.2487950
2013/9/18,15:00:00,-33.4918467,19.2489033
2013/9/18,21:00:00,-33.4916400,19.2489167
2013/9/19,00:00:00,-33.4918417,19.2488250
2013/9/19,03:00:00,-33.4933133,19.2421000
2013/9/19,06:00:00,-33.4895667,19.2504767
2013/9/19,09:00:00,-33.4917117,19.2489750
2013/9/19,12:00:00,-33.4916817,19.2487933
2013/9/19,15:00:00,-33.4918367,19.2488850
2013/9/19,18:00:00,-33.4918817,19.2488933
2013/9/19,21:00:00,-33.4918750,19.2490600
2013/9/20,00:00:00,-33.4916017,19.2480617
2013/9/20,03:00:00,-33.4919117,19.2463983
2013/9/20,06:00:00,-33.4908833,19.2487933
2013/9/20,09:00:00,-33.4907050,19.2485733
2013/9/20,12:00:00,-33.4871400,19.2516733
2013/9/20,15:00:00,-33.4831600,19.2542683
2013/9/20,18:00:00,-33.4723567,19.2421350
2013/9/20,21:00:00,-33.4546483,19.2288867
2013/9/21,00:00:00,-33.4498117,19.2386183
2013/9/21,03:00:00,-33.4515417,19.2393800
2013/9/21,06:00:00,-33.4515517,19.2394317
2013/9/21,09:00:00,-33.4515550,19.2393900
2013/9/21,12:00:00,-33.4474800,19.2404350
2013/9/21,15:00:00,-33.4473417,19.2403717
2013/9/21,18:00:00,-33.4473600,19.2402400
2013/9/21,21:00:00,-33.4363317,19.2382767
2013/9/22,00:00:00,-33.4363533,19.2383467
2013/9/22,03:00:00,-33.4352900,19.2369500
2013/9/22,06:00:00,-33.4313550,19.2515100
2013/9/22,09:00:00,-33.4308850,19.2548233
2013/9/22,12:00:00,-33.4308817,19.2548233
